DATE,CPIAUCSL
1/1/2015,234.718
2/1/2015,235.236
3/1/2015,236.005
4/1/2015,236.156
5/1/2015,236.974
6/1/2015,237.684
7/1/2015,238.053
8/1/2015,238.028
9/1/2015,237.506
10/1/2015,237.781
11/1/2015,238.016
12/1/2015,237.817
1/1/2016,237.833
2/1/2016,237.469
3/1/2016,238.038
4/1/2016,238.827
5/1/2016,239.464
6/1/2016,240.167
7/1/2016,240.15
8/1/2016,240.602
9/1/2016,241.051
10/1/2016,241.691
11/1/2016,242.029
12/1/2016,242.772
1/1/2017,243.78
2/1/2017,243.961
3/1/2017,243.749
4/1/2017,244.051
5/1/2017,243.962
6/1/2017,244.182
7/1/2017,244.39
8/1/2017,245.297
9/1/2017,246.418
10/1/2017,246.587
11/1/2017,247.332
12/1/2017,247.901
1/1/2018,248.884
2/1/2018,249.369
3/1/2018,249.498
4/1/2018,249.956
5/1/2018,250.646
6/1/2018,251.134
7/1/2018,251.597
8/1/2018,251.879
9/1/2018,252.01
10/1/2018,252.794
11/1/2018,252.76
12/1/2018,252.723
1/1/2019,252.673
2/1/2019,253.113
3/1/2019,254.148
4/1/2019,254.958
5/1/2019,255.155
6/1/2019,255.305
7/1/2019,256.161
8/1/2019,256.3
9/1/2019,256.358
10/1/2019,257.271
11/1/2019,257.936
