,RegionName,City,State,InitialValue,FinalValue,Percent Change
624,Midtown,Atlanta,GA,238817,323293,35.3726912238241
767,Downtown,Atlanta,GA,163686,228871,39.82319807436189
1077,Old Fourth Ward,Atlanta,GA,206508,317833,53.908323164235775
1519,North Buckhead,Atlanta,GA,424241,516967,21.85691623393307
1527,Morningside - Lenox Park,Atlanta,GA,620377,809337,30.458898379533732
1726,Pine Hills,Atlanta,GA,216510,296854,37.10867858297538
1907,Home Park,Atlanta,GA,283743,379618,33.78937982611025
1994,Virginia Highland,Atlanta,GA,512564,716664,39.819417672719894
2146,Kirkwood,Atlanta,GA,321079,435879,35.75444049595271
2881,Lindbergh,Atlanta,GA,180296,264867,46.90675333895372
3068,Ormewood Park,Atlanta,GA,266623,403574,51.36503602464904
3550,Lindridge - Martin Manor,Atlanta,GA,333267,424489,27.372047037360435
3559,Garden Hills,Atlanta,GA,529964,638496,20.479126884090242
3644,Inman Park,Atlanta,GA,391073,535940,37.0434675878928
3692,Peachtree Heights West,Atlanta,GA,256576,333718,30.065945372910953
3845,Underwood Hills,Atlanta,GA,238436,347936,45.92427318022446
3902,Candler Park,Atlanta,GA,428637,543686,26.840660045679677
4435,Chastain Park,Atlanta,GA,999287,1272652,27.356004831444817
4504,Poncey-Highland,Atlanta,GA,285863,382038,33.64373843414503
4629,Summerhill,Atlanta,GA,235179,364488,54.98322554309696
4873,Peachtree Hills,Atlanta,GA,411324,510711,24.162703853896197
4883,Lake Claire,Atlanta,GA,468515,593925,26.767552799803635
4980,Paces,Atlanta,GA,842992,1061903,25.96833659156908
4992,Brookhaven,Atlanta,GA,942621,1184134,25.62143215565959
5002,Mt. Paran Pkwy,Atlanta,GA,1030361,1270565,23.312605970140563
5271,Princeton Lakes,Atlanta,GA,178874,228343,27.655780046289568
5484,Mt. Paran - Northside,Atlanta,GA,1374792,1657594,20.57052994198395
5610,Bolton,Atlanta,GA,211062,311104,47.39934237333106
5635,Ridgedale Park,Atlanta,GA,305105,326146,6.896314383572869
5809,Ansley Park,Atlanta,GA,491077,671112,36.661256788650256
5961,Atlantic Station,Atlanta,GA,221914,275340,24.075092152815955
6165,Hills Park,Atlanta,GA,326579,440174,34.78331429761252
6249,Brookwood Hills,Atlanta,GA,739269,976400,32.076416027183605
6298,Peachtree Battle Alliance,Atlanta,GA,1142979,1444908,26.415970897103097
6371,Druid Hills,Atlanta,GA,443258,524925,18.424258558221172
7002,Tuxedo Park,Atlanta,GA,1428746,1832165,28.23587957551587
7250,Brookwood,Atlanta,GA,221032,296088,33.95707408881972
7264,West Paces Ferry - Northside,Atlanta,GA,830021,1070044,28.917702082236474
7362,Springlake,Atlanta,GA,639523,793624,24.09624047923218
7365,Ardmore,Atlanta,GA,450318,523867,16.33268046136286
7432,Peachtree Park,Atlanta,GA,620682,723710,16.599160278532324
7523,Loring Heights,Atlanta,GA,360439,450182,24.898249079594606
7631,East Chastain Park,Atlanta,GA,286808,369400,28.796965217148756
7674,Riverside,Atlanta,GA,233131,308312,32.24839253466935
7814,Peachtree Heights East,Atlanta,GA,531078,638568,20.23996475094054
7840,Cabbagetown,Atlanta,GA,274049,377331,37.68742086269244
7952,Midwest Cascade,Atlanta,GA,257699,309776,20.20846025789778
7999,Margaret Mitchell,Atlanta,GA,755207,880167,16.546456799261662
8064,Niskey Lake,Atlanta,GA,245786,313913,27.718014858454104
8600,Woodfield,Atlanta,GA,625891,758278,21.151766042330053
8727,Fairburn Tell,Atlanta,GA,150908,212599,40.87987383041323
8792,Fernleaf,Atlanta,GA,463857,570435,22.97647766445262
8809,Colonial Homes,Atlanta,GA,302896,355600,17.400031694046802
8867,Oakland,Atlanta,GA,231250,311770,34.81945945945946
9173,Niskey Cove,Atlanta,GA,248781,310761,24.913478119309755
